run,step,score
1561,604,105.0
1562,336,65.0
1563,606,145.0
1564,998,345.0
1565,626,55.0
1566,531,120.0
1567,615,185.0
1568,645,110.0
1569,822,210.0
1570,380,35.0
1571,390,75.0
1572,977,295.0
1573,640,140.0
1574,923,390.0
1575,729,190.0
1576,595,115.0
1577,391,70.0
1578,693,125.0
1579,755,155.0
1580,636,155.0
1581,529,55.0
1582,443,75.0
1583,1153,350.0
1584,1407,400.0
1585,542,110.0
1586,987,260.0
1587,583,90.0
1588,704,170.0
1589,923,225.0
1590,1047,255.0
1591,819,230.0
1592,1182,315.0
1593,510,150.0
1594,413,120.0
1595,645,145.0
1596,558,120.0
1597,641,110.0
1598,1006,230.0
1599,715,325.0
1600,707,140.0
1601,853,320.0
1602,512,85.0
1603,1061,145.0
1604,595,60.0
1605,474,50.0
1606,659,240.0
1607,818,245.0
1608,1307,580.0
1609,606,95.0
1610,355,105.0
1611,1039,320.0
1612,1096,350.0
1613,1172,300.0
1614,491,55.0
1615,829,250.0
1616,909,190.0
1617,628,125.0
1618,669,105.0
1619,656,105.0
1620,888,255.0
1621,1120,305.0
1622,793,355.0
1623,474,100.0
1624,489,80.0
1625,887,205.0
1626,897,125.0
1627,577,70.0
1628,384,60.0
1629,483,90.0
1630,791,235.0
1631,966,205.0
1632,1040,505.0
1633,480,70.0
1634,653,145.0
1635,932,265.0
